Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,86338,2013,6,1,15.8,1,N
IDCJAC0010,86338,2013,6,2,15.7,1,Y
IDCJAC0010,86338,2013,6,3,14.8,1,Y
IDCJAC0010,86338,2013,6,4,15,1,Y
IDCJAC0010,86338,2013,6,5,14.6,1,Y
IDCJAC0010,86338,2013,6,6,17.3,1,Y
IDCJAC0010,86338,2013,6,7,14.5,1,Y
IDCJAC0010,86338,2013,6,8,15.7,1,Y
IDCJAC0010,86338,2013,6,9,14.4,1,Y
IDCJAC0010,86338,2013,6,10,16.9,1,Y
IDCJAC0010,86338,2013,6,11,14.8,1,Y
IDCJAC0010,86338,2013,6,12,13.3,1,Y
IDCJAC0010,86338,2013,6,13,12.8,1,Y
IDCJAC0010,86338,2013,6,14,13.8,1,Y
IDCJAC0010,86338,2013,6,15,14.2,1,Y
IDCJAC0010,86338,2013,6,16,14.1,1,Y
IDCJAC0010,86338,2013,6,17,11.6,1,Y
IDCJAC0010,86338,2013,6,18,14.8,1,Y
IDCJAC0010,86338,2013,6,19,14.1,1,Y
IDCJAC0010,86338,2013,6,20,14.9,1,Y
IDCJAC0010,86338,2013,6,21,15,1,Y
IDCJAC0010,86338,2013,6,22,12.7,1,Y
IDCJAC0010,86338,2013,6,23,12.3,1,Y
IDCJAC0010,86338,2013,6,24,12.3,1,Y
IDCJAC0010,86338,2013,6,25,16.4,1,Y
IDCJAC0010,86338,2013,6,26,17.6,1,Y
IDCJAC0010,86338,2013,6,27,18.2,1,Y
IDCJAC0010,86338,2013,6,28,16.4,1,Y
IDCJAC0010,86338,2013,6,29,13.3,1,Y
IDCJAC0010,86338,2013,6,30,18.3,1,Y
IDCJAC0010,86338,2013,7,1,17.9,1,Y
IDCJAC0010,86338,2013,7,2,18.8,1,Y
IDCJAC0010,86338,2013,7,3,16.2,1,Y
IDCJAC0010,86338,2013,7,4,16.8,1,Y
IDCJAC0010,86338,2013,7,5,14.1,1,Y
IDCJAC0010,86338,2013,7,6,15.6,1,Y
IDCJAC0010,86338,2013,7,7,13.6,1,Y
IDCJAC0010,86338,2013,7,8,13.9,1,Y
IDCJAC0010,86338,2013,7,9,13.6,1,Y
IDCJAC0010,86338,2013,7,10,15.3,1,Y
IDCJAC0010,86338,2013,7,11,16.3,1,Y
IDCJAC0010,86338,2013,7,12,17.3,1,Y
IDCJAC0010,86338,2013,7,13,15.4,1,Y
IDCJAC0010,86338,2013,7,14,16.3,1,Y
IDCJAC0010,86338,2013,7,15,18.5,1,Y
IDCJAC0010,86338,2013,7,16,16.8,1,Y
